"","R.Condition","R.FileName","R.ProteinGroupsIdentified","R.Replicate","PG.FastaFiles","PG.Genes","PG.Organisms","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames","PG.Coverage","PG.Cscore..Run.Wise.","PG.IsSingleHit","PG.NrOfStrippedSequencesIdentified","PG.PEP..Run.Wise.","PG.QValue..Run.Wise.","PG.RunEvidenceCount","PG.MS1Quantity","PG.MS2Quantity","PG.Quantity"
"15","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","IGLV7-46;IGLV7-43","Homo sapiens","A0A075B6I9;P04211","Immunoglobulin lambda variable 7-46;Immunoglobulin lambda variable 7-43","LV746_HUMAN;LV743_HUMAN","7.7%;7.7%",38.704815,"False",1,0.000225144292926416,3.22876704343187e-06,1,344.992401123047,316.352783203125,344.992401123047
"16","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","IGLV2-18","Homo sapiens","A0A075B6J9","Immunoglobulin lambda variable 2-18","LV218_HUMAN","11%",25.448874,"False",1,0.0517665557563305,0.00177005478691781,1,91.9797668457031,53.577075958252,91.9797668457031
"17","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","IGLV3-9","Homo sapiens","A0A075B6K5","Immunoglobulin lambda variable 3-9","LV39_HUMAN","9.6%",16.161934,"False",1,0.214326336979866,0.00966129906901313,1,37.5224723815918,48.6361694335938,37.5224723815918
"18","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","IGKV3D-15","Homo sapiens","A0A087WSY6","Immunoglobulin kappa variable 3D-15","KVD15_HUMAN","7.8%",29.946554,"True",1,0.0126558914780617,0.000558081767895431,1,149.398284912109,266.555236816406,149.398284912109
"19","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","HMOX2","Homo sapiens","A0A087WT44;P30519","heme oxygenase (biliverdin-producing);Heme oxygenase 2","A0A087WT44_HUMAN;HMOX2_HUMAN","8.1%;9.5%",44.73044,"False",3,4.87276139438109e-08,5.29279035506662e-12,3,525.219421386719,69.2272338867188,525.219421386719
"20","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","TTR","Homo sapiens","A0A087WT59;P02766","Transthyretin","A0A087WT59_HUMAN;TTHY_HUMAN","97.4%;76.2%",43.856743,"False",14,2.29241990723494e-07,7.18374061317614e-11,27,22660.802734375,14846.3271484375,22660.802734375
"21","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","C11orf54","Homo sapiens","A0A087WT99;Q9H0W9","Chromosome 11 open reading frame 54;Ester hydrolase C11orf54","A0A087WT99_HUMAN;CK054_HUMAN","9.4%;7.6%",42.410748,"False",2,2.36193818636821e-06,3.25345837550597e-09,2,91.8951950073242,40.0938758850098,91.8951950073242
"22","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","RGS6","Homo sapiens","A0A087WTW9;A0A0A0MRA9;B7Z2N1;B7Z7N5;P49758","Regulator of G protein signaling 6;Regulator of G protein signaling 6;Regulator of G protein signaling 6;Regulator of G protein signaling 6;Regulator of G-protein signaling 6","A0A087WTW9_HUMAN;A0A0A0MRA9_HUMAN;B7Z2N1_HUMAN;B7Z7N5_HUMAN;RGS6_HUMAN","34.1%;37.1%;35.5%;28.8%;32.8%",46.24659,"False",13,2.61290700187544e-09,3.31870718106348e-14,19,864.108947753906,267.318878173828,864.108947753906
"23","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","NBL1","Homo sapiens","A0A087WTY6;A3KFI1;A3KFI2;A3KFI3;A3KFI4;A3KFI5;E5RFZ1;P41271","Neuroblastoma suppressor of tumorigenicity 1;NBL1, DAN family BMP antagonist (Fragment);NBL1, DAN family BMP antagonist (Fragment);NBL1, DAN family BMP antagonist (Fragment);NBL1, DAN family BMP antagonist (Fragment);NBL1, DAN family BMP antagonist (Fragment);NBL1, DAN family BMP antagonist (Fragment);Neuroblastoma suppressor of tumorigenicity 1","A0A087WTY6_HUMAN;A3KFI1_HUMAN;A3KFI2_HUMAN;A3KFI3_HUMAN;A3KFI4_HUMAN;A3KFI5_HUMAN;E5RFZ1_HUMAN;NBL1_HUMAN","3.3%;5.5%;6.4%;6%;6%;5.5%;4.3%;3.9%",36.672718,"True",1,0.00110292003955692,2.85754430820007e-05,1,835.162902832031,174.198303222656,835.162902832031
"24","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","CMIP","Homo sapiens","A0A087WU05","C-Maf inducing protein","A0A087WU05_HUMAN","36.2%",46.699173,"False",16,1.02831754222876e-09,6.38971009534791e-15,36,2086.43823242188,1574.37451171875,2086.43823242188
"25","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","CD9","Homo sapiens","A0A087WU13;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;A6NNI4;F5GXT1;G8JLH6;P21926","Tetraspanin;CD9 molecule;CD9 molecule;Tetraspanin;CD9 molecule;Tetraspanin;Tetraspanin;CD9 antigen","A0A087WU13_HUMAN;A0A2R8Y478_HUMAN;A0A7I2V3T0_HUMAN;A0A7I2V3T7_HUMAN;A6NNI4_HUMAN;F5GXT1_HUMAN;G8JLH6_HUMAN;CD9_HUMAN","22%;35.2%;25.9%;25.7%;35.2%;20.7%;22.3%;24.6%",46.577774,"False",6,1.32423982890373e-09,1.00156302711837e-14,8,8212.3564453125,6931.09228515625,8212.3564453125
"26","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","GYPA","Homo sapiens","A0A087WU29;P02724","Glycophorin;Glycophorin-A","A0A087WU29_HUMAN;GLPA_HUMAN","35.8%;35.3%",42.717876,"False",4,1.47523678606376e-06,1.52769783679188e-09,4,3998.12475585938,777.536743164062,3998.12475585938
"27","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","MAGT1","Homo sapiens","A0A087WU53;A0A8I5KYH1;Q9H0U3","Magnesium transporter protein 1;Magnesium transporter protein 1;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1","A0A087WU53_HUMAN;A0A8I5KYH1_HUMAN;MAGT1_HUMAN","16.9%;20.3%;18.5%",44.543102,"False",6,6.85010377310391e-08,9.41923590452956e-12,10,1461.900390625,677.858093261719,1461.900390625
"28","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","MRTFA","Homo sapiens","A0A087WU73;A0A087X287;A0A494BZX7;A0A499FIJ6;B0QY83;Q969V6;W0Z7M9","Myocardin related transcription factor A;Myocardin related transcription factor A;Myocardin related transcription factor A;Myocardin related transcription factor A;Myocardin related transcription factor A;Myocardin-related transcription factor A;Mkl1 variant 1 Mkl1_S","A0A087WU73_HUMAN;A0A087X287_HUMAN;A0A494BZX7_HUMAN;A0A499FIJ6_HUMAN;B0QY83_HUMAN;MRTFA_HUMAN;W0Z7M9_HUMAN","5.9%;6.5%;5.8%;5%;5.3%;5.6%;5.4%",37.348484,"False",3,0.000697917595971376,1.54470668437188e-05,3,175.606323242188,40.9431991577148,175.606323242188
"29","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","HNRNPDL","Homo sapiens","A0A087WUK2;O14979","Heterogeneous nuclear ribonucleoprotein D like;Heterogeneous nuclear ribonucleoprotein D-like","A0A087WUK2_HUMAN;HNRDL_HUMAN","9.6%;8.3%",46.418697,"False",2,1.8388693900917e-09,1.78333236148482e-14,2,332.573974609375,114.899772644043,332.573974609375
"30","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","SLIRP","Homo sapiens","A0A087WUN7;G3V2S9;G3V4X6;H0YJ40;H0YJW7;Q9GZT3","SRA stem-loop interacting RNA binding protein;SRA stem-loop interacting RNA binding protein;SRA stem-loop interacting RNA binding protein;SRA stem-loop interacting RNA binding protein (Fragment);SRA stem-loop interacting RNA binding protein (Fragment);SRA stem-loop-interacting RNA-binding protein, mitochondrial","A0A087WUN7_HUMAN;G3V2S9_HUMAN;G3V4X6_HUMAN;H0YJ40_HUMAN;H0YJW7_HUMAN;SLIRP_HUMAN","15.2%;11.3%;14.3%;14.6%;18.4%;12.8%",16.579556,"False",1,0.200653105974197,0.00913269177827192,1,134.626388549805,49.3493804931641,134.626388549805
"31","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","PDLIM2;PDLIM2;;","Homo sapiens","A0A087WUQ1;B3KPU0;E5RGS7;H7C1D1","PDZ and LIM domain 2;PDZ and LIM domain 2;LIM zinc-binding domain-containing protein;DUF4657 domain-containing protein (Fragment)","A0A087WUQ1_HUMAN;B3KPU0_HUMAN;E5RGS7_HUMAN;H7C1D1_HUMAN","25%;12.3%;13.6%;6.2%",30.24487,"True",1,0.0115419840440154,0.000522839550290148,1,43065.984375,216.302551269531,43065.984375
"32","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","MASTL","Homo sapiens","A0A087WUU7","non-specific serine/threonine protein kinase (Fragment)","A0A087WUU7_HUMAN","3.8%",38.21667,"True",1,0.000349739479133859,5.99275264252856e-06,2,444.005004882812,15.4058380126953,444.005004882812
"33","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640",";MYCBP","Homo sapiens","A0A087WV05;Q99417","c-Myc-binding protein","A0A087WV05_HUMAN;MYCBP_HUMAN","60.9%;65%",46.14604,"False",6,3.20225934657969e-09,4.73592786922584e-14,7,579.236328125,305.652160644531,579.236328125
"34","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","ARK2N","Homo sapiens","A0A087WVF1;K7EQH1;Q96B23","Arkadia (RNF111) N-terminal like PKA signaling regulator 2N;Arkadia (RNF111) N-terminal like PKA signaling regulator 2N (Fragment);Protein ARK2N","A0A087WVF1_HUMAN;K7EQH1_HUMAN;ARK2N_HUMAN","6.9%;13%;4.7%",43.17331,"False",1,7.1609690621699e-07,4.70885850252267e-10,1,123.994964599609,55.1476058959961,123.994964599609
"35","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","MUC1","Homo sapiens","A0A087WVJ0;A0A087X0L2;A0A0A0MRB3;A0A0A0MSH4;A0A0C4DGW3;B1AVQ7;P15941","Mucin-1 (Fragment);Mucin 1, cell surface associated;Mucin-1;Mucin-1;Mucin-1;Mucin-1;Mucin-1","A0A087WVJ0_HUMAN;A0A087X0L2_HUMAN;A0A0A0MRB3_HUMAN;A0A0A0MSH4_HUMAN;A0A0C4DGW3_HUMAN;B1AVQ7_HUMAN;MUC1_HUMAN","7.5%;7.1%;7.1%;6.3%;3.6%;7.4%;1.4%",27.87259,"True",1,0.0242226105183363,0.000886726699112934,1,254.993713378906,171.112854003906,254.993713378906
"36","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","FMR1","Homo sapiens","A0A087WVL8;A0A087WXI3;A0A087WY29;A0A8I5KS01;A0A8I5KT56;A0A8I5KTZ9;A0A8I5KUC2;A0A8I5KWH0;A0A8I5KZ21;A8MQB8;G3V0J0;Q06787","Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X mental retardation 1, isoform CRA_e;Fragile X messenger ribonucleoprotein 1","A0A087WVL8_HUMAN;A0A087WXI3_HUMAN;A0A087WY29_HUMAN;A0A8I5KS01_HUMAN;A0A8I5KT56_HUMAN;A0A8I5KTZ9_HUMAN;A0A8I5KUC2_HUMAN;A0A8I5KWH0_HUMAN;A0A8I5KZ21_HUMAN;A8MQB8_HUMAN;G3V0J0_HUMAN;FMR1_HUMAN","5.8%;6%;5.7%;5.3%;5.6%;5.7%;6.3%;5.6%;5.5%;5.5%;5.4%;5.1%",39.61395,"False",3,8.96614728844725e-05,8.66470578616514e-07,3,958.659423828125,498.677368164062,958.659423828125
"37","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","TUBGCP5","Homo sapiens","A0A087WVL9;A0A087X1Z1;A0A0G2JPW5;A0A0G2JQK2;A0A0G2JQX1;A0A0G2JSA7;Q96RT8","Tubulin gamma complex component 5 (Fragment);Gamma-tubulin complex component;Gamma-tubulin complex component;Tubulin gamma complex component 5 (Fragment);Gamma-tubulin complex component;Gamma-tubulin complex component;Gamma-tubulin complex component 5","A0A087WVL9_HUMAN;A0A087X1Z1_HUMAN;A0A0G2JPW5_HUMAN;A0A0G2JQK2_HUMAN;A0A0G2JQX1_HUMAN;A0A0G2JSA7_HUMAN;GCP5_HUMAN","12.4%;2.3%;2.3%;12.4%;2.3%;2.3%;2.3%",26.389305,"False",2,0.0389455631375313,0.00132818801040391,2,290.461547851562,43.3747062683105,290.461547851562
"38","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","MTHFD1L","Homo sapiens","A0A087WVM4;B7ZM99;Q6UB35","formate--tetrahydrofolate ligase;formate--tetrahydrofolate ligase;Monofunctional C1-tetrahydrofolate synthase, mitochondrial","A0A087WVM4_HUMAN;B7ZM99_HUMAN;C1TM_HUMAN","2.8%;2.7%;2.7%",18.418634,"False",2,0.154954701662064,0.00710660413087658,2,166.18293762207,73.3283767700195,166.18293762207
"39","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","SMTN","Homo sapiens","A0A087WVP4","Smoothelin","A0A087WVP4_HUMAN","3.9%",36.110332,"False",2,0.00153366022277623,4.46212838536108e-05,2,376.34814453125,106.28539276123,376.34814453125
"40","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","CLTC","Homo sapiens","A0A087WVQ6;A0A8V8TQ14;A0A8V8TQ18;A0A8V8TQK7;A0A8V8TR47;A0A8V8TRF0;A0AAQ5BHU5;K7EJJ5;Q00610","Clathrin heavy chain;Clathrin heavy chain;Clathrin heavy chain;Clathrin heavy chain;Clathrin heavy chain;Clathrin heavy chain;Clathrin heavy chain;Clathrin heavy chain;Clathrin heavy chain 1","A0A087WVQ6_HUMAN;A0A8V8TQ14_HUMAN;A0A8V8TQ18_HUMAN;A0A8V8TQK7_HUMAN;A0A8V8TR47_HUMAN;A0A8V8TRF0_HUMAN;A0AAQ5BHU5_HUMAN;K7EJJ5_HUMAN;CLH1_HUMAN","64.6%;64.5%;63%;65.5%;64.6%;64.7%;65%;64.4%;64.7%",54.21158,"False",83,3.51848428661729e-18,5.03887818605573e-30,212,10041.1640625,4657.654296875,10041.1640625
"41","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","EEF1A1;EEF1A1;EEF1A1;EEF1A1P5","Homo sapiens","A0A087WVQ9;A0A7I2V659;P68104;Q5VTE0","Elongation factor 1-alpha;Elongation factor 1-alpha;Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3","A0A087WVQ9_HUMAN;A0A7I2V659_HUMAN;EF1A1_HUMAN;EF1A3_HUMAN","43.6%;43.6%;43.3%;43.3%",51.170403,"False",15,1.71329083190584e-14,2.46427792671033e-23,30,1339.17053222656,601.842529296875,1339.17053222656
"42","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","MPC1","Homo sapiens","A0A087WVZ0;Q9Y5U8","Mitochondrial pyruvate carrier;Mitochondrial pyruvate carrier 1","A0A087WVZ0_HUMAN;MPC1_HUMAN","8.3%;8.3%",43.5292,"False",1,3.98906394138976e-07,1.80018805501498e-10,1,351.238342285156,172.218505859375,351.238342285156
"43","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","SH3GLB1","Homo sapiens","A0A087WW40;A0A994J549;Q9Y371","Endophilin-B1","A0A087WW40_HUMAN;A0A994J549_HUMAN;SHLB1_HUMAN","35.8%;37.3%;38.6%",49.453583,"False",11,1.73613369774256e-12,7.97099889239894e-20,17,1243.10485839844,767.678588867188,1243.10485839844
"44","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","CHMP2B","Homo sapiens","A0A087WW88;C9J0A7;Q9UQN3","Charged multivesicular body protein 2B;Charged multivesicular body protein 2B;Charged multivesicular body protein 2b","A0A087WW88_HUMAN;C9J0A7_HUMAN;CHM2B_HUMAN","4.4%;5.5%;4.7%",30.06934,"False",1,0.0121846497058868,0.00054367498787034,1,338.775299072266,146.002838134766,338.775299072266
